,Event,Duration,Start Time,End Time,Start Epoch,End Epoch,Unnamed: 6
0,N1,30.0,03:00.0,03:30.0,822,823,
1,N1,30.0,03:30.0,04:00.0,823,824,
2,Wake,30.0,04:00.0,04:30.0,824,825,
3,N1,30.0,04:30.0,05:00.0,825,826,
4,N2,30.0,05:00.0,05:30.0,826,827,
5,N2,30.0,05:30.0,06:00.0,827,828,
6,N2,30.0,06:00.0,06:30.0,828,829,
7,N2,30.0,06:30.0,07:00.0,829,830,
8,REM,30.0,07:00.0,07:30.0,830,831,
9,REM,30.0,07:30.0,08:00.0,831,832,
10,REM,30.0,08:00.0,08:30.0,832,833,
11,REM,30.0,08:30.0,09:00.0,833,834,
12,REM,30.0,09:00.0,09:30.0,834,835,
13,REM,30.0,09:30.0,10:00.0,835,836,
14,N2,30.0,10:00.0,10:30.0,836,837,
15,N2,30.0,10:30.0,11:00.0,837,838,
16,N2,30.0,11:00.0,11:30.0,838,839,
17,N2,30.0,11:30.0,12:00.0,839,840,
18,N2,30.0,12:00.0,12:30.0,840,841,
19,N2,30.0,12:30.0,13:00.0,841,842,
20,REM,30.0,13:00.0,13:30.0,842,843,
21,Wake,30.0,13:30.0,14:00.0,843,844,
22,Wake,30.0,14:00.0,14:30.0,844,845,
23,Wake,30.0,14:30.0,15:00.0,845,846,
24,Wake,30.0,15:00.0,15:30.0,846,847,
25,Wake,30.0,15:30.0,16:00.0,847,848,
26,Wake,30.0,16:00.0,16:30.0,848,849,
27,N1,30.0,16:30.0,17:00.0,849,850,
28,N2,30.0,17:00.0,17:30.0,850,851,
29,N2,30.0,17:30.0,18:00.0,851,852,
30,N2,30.0,18:00.0,18:30.0,852,853,
31,N2,30.0,18:30.0,19:00.0,853,854,
32,N2,30.0,19:00.0,19:30.0,854,855,
33,N2,30.0,19:30.0,20:00.0,855,856,
34,N2,30.0,20:00.0,20:30.0,856,857,
35,N2,30.0,20:30.0,21:00.0,857,858,
36,N2,30.0,21:00.0,21:30.0,858,859,
37,N2,30.0,21:30.0,22:00.0,859,860,
38,N2,30.0,22:00.0,22:30.0,860,861,
39,N2,30.0,22:30.0,23:00.0,861,862,
40,N3,30.0,23:00.0,23:30.0,862,863,
41,N3,30.0,23:30.0,24:00.0,863,864,
42,N3,30.0,24:00.0,24:30.0,864,865,
43,N3,30.0,24:30.0,25:00.0,865,866,
44,N3,30.0,25:00.0,25:30.0,866,867,
45,N3,30.0,25:30.0,26:00.0,867,868,
46,N3,30.0,26:00.0,26:30.0,868,869,
47,Wake,30.0,26:30.0,27:00.0,869,870,
48,Wake,30.0,27:00.0,27:30.0,870,871,
49,Wake,30.0,27:30.0,28:00.0,871,872,
50,Wake,30.0,28:00.0,28:30.0,872,873,
51,Wake,30.0,28:30.0,29:00.0,873,874,
52,Wake,30.0,29:00.0,29:30.0,874,875,
53,Wake,30.0,29:30.0,30:00.0,875,876,
54,Wake,30.0,30:00.0,30:30.0,876,877,
55,Wake,30.0,30:30.0,31:00.0,877,878,
56,Wake,30.0,31:00.0,31:30.0,878,879,
57,Wake,30.0,31:30.0,32:00.0,879,880,
58,Wake,30.0,32:00.0,32:30.0,880,881,
59,Wake,30.0,32:30.0,33:00.0,881,882,
60,Wake,30.0,33:00.0,33:30.0,882,883,
61,Wake,30.0,33:30.0,34:00.0,883,884,
62,Wake,30.0,34:00.0,34:30.0,884,885,
63,Wake,30.0,34:30.0,35:00.0,885,886,
64,Wake,30.0,35:00.0,35:30.0,886,887,
65,Wake,30.0,35:30.0,36:00.0,887,888,
66,Wake,30.0,36:00.0,36:30.0,888,889,
67,Wake,30.0,36:30.0,37:00.0,889,890,
68,Wake,30.0,37:00.0,37:30.0,890,891,
69,Wake,30.0,37:30.0,38:00.0,891,892,
70,Wake,30.0,38:00.0,38:30.0,892,893,
71,Wake,30.0,38:30.0,39:00.0,893,894,
72,Wake,30.0,39:00.0,39:30.0,894,895,
73,Wake,30.0,39:30.0,40:00.0,895,896,
74,Wake,30.0,40:00.0,40:30.0,896,897,
75,Wake,30.0,40:30.0,41:00.0,897,898,
76,Wake,30.0,41:00.0,41:30.0,898,899,
77,Wake,30.0,41:30.0,42:00.0,899,900,
78,Wake,30.0,42:00.0,42:30.0,900,901,
79,Wake,30.0,42:30.0,43:00.0,901,902,
80,Wake,30.0,43:00.0,43:30.0,902,903,
81,Wake,30.0,43:30.0,44:00.0,903,904,
82,Wake,30.0,44:00.0,44:30.0,904,905,
83,Wake,30.0,44:30.0,45:00.0,905,906,
84,Wake,30.0,45:00.0,45:30.0,906,907,
85,Wake,30.0,45:30.0,46:00.0,907,908,
86,Wake,30.0,46:00.0,46:30.0,908,909,
87,N1,30.0,46:30.0,47:00.0,909,910,
88,N2,30.0,47:00.0,47:30.0,910,911,
89,N2,30.0,47:30.0,48:00.0,911,912,
90,N2,30.0,48:00.0,48:30.0,912,913,
91,N1,30.0,48:30.0,49:00.0,913,914,
92,N1,30.0,49:00.0,49:30.0,914,915,
93,N2,30.0,49:30.0,50:00.0,915,916,
94,Wake,30.0,50:00.0,50:30.0,916,917,
95,N1,30.0,50:30.0,51:00.0,917,918,
96,N2,30.0,51:00.0,51:30.0,918,919,
97,N2,30.0,51:30.0,52:00.0,919,920,
98,N2,30.0,52:00.0,52:30.0,920,921,
99,N2,30.0,52:30.0,53:00.0,921,922,
100,N2,30.0,53:00.0,53:30.0,922,923,
101,N2,30.0,53:30.0,54:00.0,923,924,
102,N2,30.0,54:00.0,54:30.0,924,925,
103,N2,30.0,54:30.0,55:00.0,925,926,
104,N2,30.0,55:00.0,55:30.0,926,927,
105,N2,30.0,55:30.0,56:00.0,927,928,
106,N2,30.0,56:00.0,56:30.0,928,929,
107,N2,30.0,56:30.0,57:00.0,929,930,
108,N2,30.0,57:00.0,57:30.0,930,931,
109,N2,30.0,57:30.0,58:00.0,931,932,
110,N2,30.0,58:00.0,58:30.0,932,933,
111,N2,30.0,58:30.0,59:00.0,933,934,
112,N2,30.0,59:00.0,59:30.0,934,935,
113,N2,30.0,59:30.0,00:00.0,935,936,
114,N2,30.0,00:00.0,00:30.0,936,937,
115,N2,30.0,00:30.0,01:00.0,937,938,
116,N2,30.0,01:00.0,01:30.0,938,939,
117,N2,30.0,01:30.0,02:00.0,939,940,
118,N2,30.0,02:00.0,02:30.0,940,941,
119,Wake,30.0,02:30.0,03:00.0,941,942,
120,N2,30.0,03:00.0,03:30.0,942,943,
121,N2,30.0,03:30.0,04:00.0,943,944,
122,N2,30.0,04:00.0,04:30.0,944,945,
123,N2,30.0,04:30.0,05:00.0,945,946,
124,N2,30.0,05:00.0,05:30.0,946,947,
125,N2,30.0,05:30.0,06:00.0,947,948,
126,N2,30.0,06:00.0,06:30.0,948,949,
127,N2,30.0,06:30.0,07:00.0,949,950,
128,N2,30.0,07:00.0,07:30.0,950,951,
129,N2,30.0,07:30.0,08:00.0,951,952,
130,N2,30.0,08:00.0,08:30.0,952,953,
131,N2,30.0,08:30.0,09:00.0,953,954,
132,N2,30.0,09:00.0,09:30.0,954,955,
133,N2,30.0,09:30.0,10:00.0,955,956,
134,N2,30.0,10:00.0,10:30.0,956,957,
135,N2,30.0,10:30.0,11:00.0,957,958,
136,N2,30.0,11:00.0,11:30.0,958,959,
137,N2,30.0,11:30.0,12:00.0,959,960,
138,N1,30.0,12:00.0,12:30.0,960,961,
139,N2,30.0,12:30.0,13:00.0,961,962,
140,N2,30.0,13:00.0,13:30.0,962,963,
141,REM,30.0,13:30.0,14:00.0,963,964,
142,REM,30.0,14:00.0,14:30.0,964,965,
143,REM,30.0,14:30.0,15:00.0,965,966,
144,REM,30.0,15:00.0,15:30.0,966,967,
145,REM,30.0,15:30.0,16:00.0,967,968,
146,Wake,30.0,16:00.0,16:30.0,968,969,
147,N1,30.0,16:30.0,17:00.0,969,970,
148,N2,30.0,17:00.0,17:30.0,970,971,
149,N1,30.0,17:30.0,18:00.0,971,972,
150,N1,30.0,18:00.0,18:30.0,972,973,
151,N2,30.0,18:30.0,19:00.0,973,974,
152,N2,30.0,19:00.0,19:30.0,974,975,
153,N2,30.0,19:30.0,20:00.0,975,976,
154,N2,30.0,20:00.0,20:30.0,976,977,
155,N2,30.0,20:30.0,21:00.0,977,978,
156,N2,30.0,21:00.0,21:30.0,978,979,
157,N2,30.0,21:30.0,22:00.0,979,980,
158,N2,30.0,22:00.0,22:30.0,980,981,
159,N2,30.0,22:30.0,23:00.0,981,982,
160,N2,30.0,23:00.0,23:30.0,982,983,
161,N2,30.0,23:30.0,24:00.0,983,984,
162,N2,30.0,24:00.0,24:30.0,984,985,
163,Wake,30.0,24:30.0,25:00.0,985,986,
164,N2,30.0,25:00.0,25:30.0,986,987,
165,N2,30.0,25:30.0,26:00.0,987,988,
166,N2,30.0,26:00.0,26:30.0,988,989,
167,N2,30.0,26:30.0,27:00.0,989,990,
168,N2,30.0,27:00.0,27:30.0,990,991,
169,N2,30.0,27:30.0,28:00.0,991,992,
170,N2,30.0,28:00.0,28:30.0,992,993,
171,N3,30.0,28:30.0,29:00.0,993,994,
172,N3,30.0,29:00.0,29:30.0,994,995,
173,N3,30.0,29:30.0,30:00.0,995,996,
174,N3,30.0,30:00.0,30:30.0,996,997,
175,N2,30.0,30:30.0,31:00.0,997,998,
176,N2,30.0,31:00.0,31:30.0,998,999,
177,N3,30.0,31:30.0,32:00.0,999,1000,
178,N2,30.0,32:00.0,32:30.0,1000,1001,
179,N2,30.0,32:30.0,33:00.0,1001,1002,
180,N2,30.0,33:00.0,33:30.0,1002,1003,
181,N3,30.0,33:30.0,34:00.0,1003,1004,
182,N2,30.0,34:00.0,34:30.0,1004,1005,
183,N3,30.0,34:30.0,35:00.0,1005,1006,
184,N3,30.0,35:00.0,35:30.0,1006,1007,
185,N3,30.0,35:30.0,36:00.0,1007,1008,
186,N3,30.0,36:00.0,36:30.0,1008,1009,
187,N1,30.0,36:30.0,37:00.0,1009,1010,
188,N2,30.0,37:00.0,37:30.0,1010,1011,
189,N2,30.0,37:30.0,38:00.0,1011,1012,
190,N2,30.0,38:00.0,38:30.0,1012,1013,
191,N2,30.0,38:30.0,39:00.0,1013,1014,
192,N2,30.0,39:00.0,39:30.0,1014,1015,
193,N2,30.0,39:30.0,40:00.0,1015,1016,
194,N3,30.0,40:00.0,40:30.0,1016,1017,
195,N3,30.0,40:30.0,41:00.0,1017,1018,
196,N3,30.0,41:00.0,41:30.0,1018,1019,
197,N3,30.0,41:30.0,42:00.0,1019,1020,
198,N3,30.0,42:00.0,42:30.0,1020,1021,
199,N3,30.0,42:30.0,43:00.0,1021,1022,
200,N3,30.0,43:00.0,43:30.0,1022,1023,
201,N2,30.0,43:30.0,44:00.0,1023,1024,
202,N2,30.0,44:00.0,44:30.0,1024,1025,
203,N2,30.0,44:30.0,45:00.0,1025,1026,
204,N2,30.0,45:00.0,45:30.0,1026,1027,
205,N3,30.0,45:30.0,46:00.0,1027,1028,
206,N2,30.0,46:00.0,46:30.0,1028,1029,
207,N2,30.0,46:30.0,47:00.0,1029,1030,
208,N2,30.0,47:00.0,47:30.0,1030,1031,
209,N3,30.0,47:30.0,48:00.0,1031,1032,
210,N3,30.0,48:00.0,48:30.0,1032,1033,
211,N3,30.0,48:30.0,49:00.0,1033,1034,
212,N3,30.0,49:00.0,49:30.0,1034,1035,
213,N3,30.0,49:30.0,50:00.0,1035,1036,
214,N3,30.0,50:00.0,50:30.0,1036,1037,
215,N3,30.0,50:30.0,51:00.0,1037,1038,
216,N3,30.0,51:00.0,51:30.0,1038,1039,
217,N3,30.0,51:30.0,52:00.0,1039,1040,
218,N3,30.0,52:00.0,52:30.0,1040,1041,
219,N3,30.0,52:30.0,53:00.0,1041,1042,
220,N3,30.0,53:00.0,53:30.0,1042,1043,
221,N3,30.0,53:30.0,54:00.0,1043,1044,
222,N3,30.0,54:00.0,54:30.0,1044,1045,
223,N3,30.0,54:30.0,55:00.0,1045,1046,
224,N3,30.0,55:00.0,55:30.0,1046,1047,
225,N3,30.0,55:30.0,56:00.0,1047,1048,
226,N3,30.0,56:00.0,56:30.0,1048,1049,
227,N3,30.0,56:30.0,57:00.0,1049,1050,
228,N3,30.0,57:00.0,57:30.0,1050,1051,
229,N3,30.0,57:30.0,58:00.0,1051,1052,
230,N3,30.0,58:00.0,58:30.0,1052,1053,
231,N3,30.0,58:30.0,59:00.0,1053,1054,
232,N3,30.0,59:00.0,59:30.0,1054,1055,
233,N3,30.0,59:30.0,00:00.0,1055,1056,
234,N3,30.0,00:00.0,00:30.0,1056,1057,
235,N3,30.0,00:30.0,01:00.0,1057,1058,
236,N3,30.0,01:00.0,01:30.0,1058,1059,
237,Wake,30.0,01:30.0,02:00.0,1059,1060,
238,Wake,30.0,02:00.0,02:30.0,1060,1061,
239,N2,30.0,02:30.0,03:00.0,1061,1062,
240,N2,30.0,03:00.0,03:30.0,1062,1063,
241,N2,30.0,03:30.0,04:00.0,1063,1064,
242,N2,30.0,04:00.0,04:30.0,1064,1065,
243,N2,30.0,04:30.0,05:00.0,1065,1066,
244,N2,30.0,05:00.0,05:30.0,1066,1067,
245,N2,30.0,05:30.0,06:00.0,1067,1068,
246,N2,30.0,06:00.0,06:30.0,1068,1069,
247,N2,30.0,06:30.0,07:00.0,1069,1070,
248,N2,30.0,07:00.0,07:30.0,1070,1071,
249,N2,30.0,07:30.0,08:00.0,1071,1072,
250,REM,30.0,08:00.0,08:30.0,1072,1073,
251,REM,30.0,08:30.0,09:00.0,1073,1074,
252,REM,30.0,09:00.0,09:30.0,1074,1075,
253,REM,30.0,09:30.0,10:00.0,1075,1076,
254,Wake,30.0,10:00.0,10:30.0,1076,1077,
255,Wake,30.0,10:30.0,11:00.0,1077,1078,
256,REM,30.0,11:00.0,11:30.0,1078,1079,
257,REM,30.0,11:30.0,12:00.0,1079,1080,
258,REM,30.0,12:00.0,12:30.0,1080,1081,
259,REM,30.0,12:30.0,13:00.0,1081,1082,
260,REM,30.0,13:00.0,13:30.0,1082,1083,
261,REM,30.0,13:30.0,14:00.0,1083,1084,
262,REM,30.0,14:00.0,14:30.0,1084,1085,
263,REM,30.0,14:30.0,15:00.0,1085,1086,
264,REM,30.0,15:00.0,15:30.0,1086,1087,
265,REM,30.0,15:30.0,16:00.0,1087,1088,
266,Wake,30.0,16:00.0,16:30.0,1088,1089,
267,N1,30.0,16:30.0,17:00.0,1089,1090,
268,N1,30.0,17:00.0,17:30.0,1090,1091,
269,N1,30.0,17:30.0,18:00.0,1091,1092,
270,N1,30.0,18:00.0,18:30.0,1092,1093,
271,N2,30.0,18:30.0,19:00.0,1093,1094,
272,N2,30.0,19:00.0,19:30.0,1094,1095,
273,N2,30.0,19:30.0,20:00.0,1095,1096,
274,N2,30.0,20:00.0,20:30.0,1096,1097,
275,N2,30.0,20:30.0,21:00.0,1097,1098,
276,N2,30.0,21:00.0,21:30.0,1098,1099,
277,N2,30.0,21:30.0,22:00.0,1099,1100,
278,N2,30.0,22:00.0,22:30.0,1100,1101,
279,N2,30.0,22:30.0,23:00.0,1101,1102,
280,N2,30.0,23:00.0,23:30.0,1102,1103,
281,N2,30.0,23:30.0,24:00.0,1103,1104,
282,N2,30.0,24:00.0,24:30.0,1104,1105,
283,N2,30.0,24:30.0,25:00.0,1105,1106,
284,N2,30.0,25:00.0,25:30.0,1106,1107,
285,N2,30.0,25:30.0,26:00.0,1107,1108,
286,N2,30.0,26:00.0,26:30.0,1108,1109,
287,N2,30.0,26:30.0,27:00.0,1109,1110,
288,N2,30.0,27:00.0,27:30.0,1110,1111,
289,N2,30.0,27:30.0,28:00.0,1111,1112,
290,N2,30.0,28:00.0,28:30.0,1112,1113,
291,N2,30.0,28:30.0,29:00.0,1113,1114,
292,N2,30.0,29:00.0,29:30.0,1114,1115,
293,N2,30.0,29:30.0,30:00.0,1115,1116,
294,N2,30.0,30:00.0,30:30.0,1116,1117,
295,N2,30.0,30:30.0,31:00.0,1117,1118,
296,N2,30.0,31:00.0,31:30.0,1118,1119,
297,N2,30.0,31:30.0,32:00.0,1119,1120,
298,N2,30.0,32:00.0,32:30.0,1120,1121,
299,N2,30.0,32:30.0,33:00.0,1121,1122,
300,N2,30.0,33:00.0,33:30.0,1122,1123,
301,N2,30.0,33:30.0,34:00.0,1123,1124,
302,REM,30.0,34:00.0,34:30.0,1124,1125,
303,REM,30.0,34:30.0,35:00.0,1125,1126,
304,REM,30.0,35:00.0,35:30.0,1126,1127,
305,REM,30.0,35:30.0,36:00.0,1127,1128,
306,REM,30.0,36:00.0,36:30.0,1128,1129,
307,REM,30.0,36:30.0,37:00.0,1129,1130,
308,REM,30.0,37:00.0,37:30.0,1130,1131,
309,REM,30.0,37:30.0,38:00.0,1131,1132,
310,REM,30.0,38:00.0,38:30.0,1132,1133,
311,REM,30.0,38:30.0,39:00.0,1133,1134,
312,REM,30.0,39:00.0,39:30.0,1134,1135,
313,REM,30.0,39:30.0,40:00.0,1135,1136,
314,REM,30.0,40:00.0,40:30.0,1136,1137,
315,REM,30.0,40:30.0,41:00.0,1137,1138,
316,REM,30.0,41:00.0,41:30.0,1138,1139,
317,REM,30.0,41:30.0,42:00.0,1139,1140,
318,REM,30.0,42:00.0,42:30.0,1140,1141,
319,REM,30.0,42:30.0,43:00.0,1141,1142,
320,REM,30.0,43:00.0,43:30.0,1142,1143,
321,REM,30.0,43:30.0,44:00.0,1143,1144,
322,REM,30.0,44:00.0,44:30.0,1144,1145,
323,REM,30.0,44:30.0,45:00.0,1145,1146,
324,REM,30.0,45:00.0,45:30.0,1146,1147,
325,REM,30.0,45:30.0,46:00.0,1147,1148,
326,REM,30.0,46:00.0,46:30.0,1148,1149,
327,REM,30.0,46:30.0,47:00.0,1149,1150,
328,REM,30.0,47:00.0,47:30.0,1150,1151,
329,REM,30.0,47:30.0,48:00.0,1151,1152,
330,REM,30.0,48:00.0,48:30.0,1152,1153,
331,REM,30.0,48:30.0,49:00.0,1153,1154,
332,REM,30.0,49:00.0,49:30.0,1154,1155,
333,REM,30.0,49:30.0,50:00.0,1155,1156,
334,REM,30.0,50:00.0,50:30.0,1156,1157,
335,REM,30.0,50:30.0,51:00.0,1157,1158,
336,REM,30.0,51:00.0,51:30.0,1158,1159,
337,REM,30.0,51:30.0,52:00.0,1159,1160,
338,REM,30.0,52:00.0,52:30.0,1160,1161,
339,REM,30.0,52:30.0,53:00.0,1161,1162,
340,REM,30.0,53:00.0,53:30.0,1162,1163,
341,REM,30.0,53:30.0,54:00.0,1163,1164,
342,REM,30.0,54:00.0,54:30.0,1164,1165,
343,REM,30.0,54:30.0,55:00.0,1165,1166,
344,REM,30.0,55:00.0,55:30.0,1166,1167,
345,REM,30.0,55:30.0,56:00.0,1167,1168,
346,REM,30.0,56:00.0,56:30.0,1168,1169,
347,Wake,30.0,56:30.0,57:00.0,1169,1170,
348,REM,30.0,57:00.0,57:30.0,1170,1171,
349,REM,30.0,57:30.0,58:00.0,1171,1172,
350,REM,30.0,58:00.0,58:30.0,1172,1173,
351,N2,30.0,58:30.0,59:00.0,1173,1174,
352,N2,30.0,59:00.0,59:30.0,1174,1175,
353,N2,30.0,59:30.0,00:00.0,1175,1176,
354,N2,30.0,00:00.0,00:30.0,1176,1177,
355,N2,30.0,00:30.0,01:00.0,1177,1178,
356,N2,30.0,01:00.0,01:30.0,1178,1179,
357,N2,30.0,01:30.0,02:00.0,1179,1180,
358,Wake,30.0,02:00.0,02:30.0,1180,1181,
359,N2,30.0,02:30.0,03:00.0,1181,1182,
360,N1,30.0,03:00.0,03:30.0,1182,1183,
361,N2,30.0,03:30.0,04:00.0,1183,1184,
362,N2,30.0,04:00.0,04:30.0,1184,1185,
363,N2,30.0,04:30.0,05:00.0,1185,1186,
364,N2,30.0,05:00.0,05:30.0,1186,1187,
365,N2,30.0,05:30.0,06:00.0,1187,1188,
366,N2,30.0,06:00.0,06:30.0,1188,1189,
367,N2,30.0,06:30.0,07:00.0,1189,1190,
368,N2,30.0,07:00.0,07:30.0,1190,1191,
