Event,Duration,Start Time,End Time,Start Epoch,End Epoch,
REM,30,47:00.0,47:30.0,1630,1631,
Movement,2.95,47:21.0,47:24.0,1630,1630,
LM,1.235,47:22.5,47:23.8,1630,1630,
REM,30,47:30.0,48:00.0,1631,1632,
REM,30,48:00.0,48:30.0,1632,1633,
REM,30,48:30.0,49:00.0,1633,1634,
Movement,31.548,48:53.7,49:25.2,1633,1634,
Wake,30,49:00.0,49:30.0,1634,1635,
LM,1.235,49:23.5,49:24.8,1634,1634,
Artifact,2682.684,49:24.1,34:06.7,1634,1724,
REM,30,49:30.0,50:00.0,1635,1636,
Desat,16.999,49:43.6,50:00.6,1635,1636,
REM,30,50:00.0,50:30.0,1636,1637,
REM,30,50:30.0,51:00.0,1637,1638,
REM,30,51:00.0,51:30.0,1638,1639,
LM,0.535,51:00.9,51:01.5,1638,1638,
LM,0.54,51:01.0,51:01.5,1638,1638,
REM,30,51:30.0,52:00.0,1639,1640,
REM,30,52:00.0,52:30.0,1640,1641,
REM,30,52:30.0,53:00.0,1641,1642,
N2,30,53:00.0,53:30.0,1642,1643,
N2,30,53:30.0,54:00.0,1643,1644,
N2,30,54:00.0,54:30.0,1644,1645,
N2,30,54:30.0,55:00.0,1645,1646,
N2,30,55:00.0,55:30.0,1646,1647,
N2,30,55:30.0,56:00.0,1647,1648,
N2,30,56:00.0,56:30.0,1648,1649,
N2,30,56:30.0,57:00.0,1649,1650,
N2,30,57:00.0,57:30.0,1650,1651,
N2,30,57:30.0,58:00.0,1651,1652,
N2,30,58:00.0,58:30.0,1652,1653,
N2,30,58:30.0,59:00.0,1653,1654,
N2,30,59:00.0,59:30.0,1654,1655,
N2,30,59:30.0,00:00.0,1655,1656,
Desat,25.666,59:51.6,00:17.3,1655,1656,
N2,30,00:00.0,00:30.0,1656,1657,
N2,30,00:30.0,01:00.0,1657,1658,
N2,30,01:00.0,01:30.0,1658,1659,
N2,30,01:30.0,02:00.0,1659,1660,
N2,30,02:00.0,02:30.0,1660,1661,
N3,30,02:30.0,03:00.0,1661,1662,
N2,30,03:00.0,03:30.0,1662,1663,
N2,30,03:30.0,04:00.0,1663,1664,
N2,30,04:00.0,04:30.0,1664,1665,
N2,30,04:30.0,05:00.0,1665,1666,
N2,30,05:00.0,05:30.0,1666,1667,
N3,30,05:30.0,06:00.0,1667,1668,
N2,30,06:00.0,06:30.0,1668,1669,
N2,30,06:30.0,07:00.0,1669,1670,
N2,30,07:00.0,07:30.0,1670,1671,
N2,30,07:30.0,08:00.0,1671,1672,
N2,30,08:00.0,08:30.0,1672,1673,
N3,30,08:30.0,09:00.0,1673,1674,
N2,30,09:00.0,09:30.0,1674,1675,
N2,30,09:30.0,10:00.0,1675,1676,
N3,30,10:00.0,10:30.0,1676,1677,
N3,30,10:30.0,11:00.0,1677,1678,
N3,30,11:00.0,11:30.0,1678,1679,
N3,30,11:30.0,12:00.0,1679,1680,
N3,30,12:00.0,12:30.0,1680,1681,
N3,30,12:30.0,13:00.0,1681,1682,
N3,30,13:00.0,13:30.0,1682,1683,
N3,30,13:30.0,14:00.0,1683,1684,
N3,30,14:00.0,14:30.0,1684,1685,
N3,30,14:30.0,15:00.0,1685,1686,
N3,30,15:00.0,15:30.0,1686,1687,
N3,30,15:30.0,16:00.0,1687,1688,
N3,30,16:00.0,16:30.0,1688,1689,
N3,30,16:30.0,17:00.0,1689,1690,
N3,30,17:00.0,17:30.0,1690,1691,
N3,30,17:30.0,18:00.0,1691,1692,
N3,30,18:00.0,18:30.0,1692,1693,
N3,30,18:30.0,19:00.0,1693,1694,
N3,30,19:00.0,19:30.0,1694,1695,
N3,30,19:30.0,20:00.0,1695,1696,
N3,30,20:00.0,20:30.0,1696,1697,
N3,30,20:30.0,21:00.0,1697,1698,
N3,30,21:00.0,21:30.0,1698,1699,
N3,30,21:30.0,22:00.0,1699,1700,
N3,30,22:00.0,22:30.0,1700,1701,
N3,30,22:30.0,23:00.0,1701,1702,
N3,30,23:00.0,23:30.0,1702,1703,
N3,30,23:30.0,24:00.0,1703,1704,
N3,30,24:00.0,24:30.0,1704,1705,
N3,30,24:30.0,25:00.0,1705,1706,
N3,30,25:00.0,25:30.0,1706,1707,
N3,30,25:30.0,26:00.0,1707,1708,
N3,30,26:00.0,26:30.0,1708,1709,
N3,30,26:30.0,27:00.0,1709,1710,
N3,30,27:00.0,27:30.0,1710,1711,
N3,30,27:30.0,28:00.0,1711,1712,
N3,30,28:00.0,28:30.0,1712,1713,
N3,30,28:30.0,29:00.0,1713,1714,
N3,30,29:00.0,29:30.0,1714,1715,
N3,30,29:30.0,30:00.0,1715,1716,
N3,30,30:00.0,30:30.0,1716,1717,
N3,30,30:30.0,31:00.0,1717,1718,
N3,30,31:00.0,31:30.0,1718,1719,
N3,30,31:30.0,32:00.0,1719,1720,
N3,30,32:00.0,32:30.0,1720,1721,
N3,30,32:30.0,33:00.0,1721,1722,
N3,30,33:00.0,33:30.0,1722,1723,
N3,30,33:30.0,34:00.0,1723,1724,
Wake,30,34:00.0,34:30.0,1724,1725,
Movement,47.997,34:05.0,34:53.0,1724,1725,
Wake,30,34:30.0,35:00.0,1725,1726,
N1,30,35:00.0,35:30.0,1726,1727,
N2,30,35:30.0,36:00.0,1727,1728,
N2,30,36:00.0,36:30.0,1728,1729,
N2,30,36:30.0,37:00.0,1729,1730,
LM,7.274,36:32.3,36:39.6,1729,1729,
PLM,123.562,36:32.3,38:35.8,1729,1733,
Movement,10.1,36:33.2,36:43.3,1729,1729,
N2,30,37:00.0,37:30.0,1730,1731,
LM,2.28,37:01.0,37:03.3,1730,1730,
Movement,14.449,37:25.7,37:40.2,1730,1731,
LM,1.885,37:27.2,37:29.1,1730,1730,
Wake,30,37:30.0,38:00.0,1731,1732,
Artifact,430.359,37:44.6,44:55.0,1731,1745,
N2,30,38:00.0,38:30.0,1732,1733,
N2,30,38:30.0,39:00.0,1733,1734,
LM,4.195,38:30.5,38:34.7,1733,1733,
LM,2.22,38:33.6,38:35.8,1733,1733,
N2,30,39:00.0,39:30.0,1734,1735,
N2,30,39:30.0,40:00.0,1735,1736,
N2,30,40:00.0,40:30.0,1736,1737,
N2,30,40:30.0,41:00.0,1737,1738,
N2,30,41:00.0,41:30.0,1738,1739,
LM,2.42,41:07.4,41:09.8,1738,1738,
LM,3.205,41:09.2,41:12.4,1738,1738,
N2,30,41:30.0,42:00.0,1739,1740,
N2,30,42:00.0,42:30.0,1740,1741,
N2,30,42:30.0,43:00.0,1741,1742,
N2,30,43:00.0,43:30.0,1742,1743,
N2,30,43:30.0,44:00.0,1743,1744,
N2,30,44:00.0,44:30.0,1744,1745,
N2,30,44:30.0,45:00.0,1745,1746,
N2,30,45:00.0,45:30.0,1746,1747,
Movement,34.698,45:29.1,46:03.8,1746,1748,
N2,30,45:30.0,46:00.0,1747,1748,
Artifact,583.08,45:44.4,55:27.5,1747,1766,
N2,30,46:00.0,46:30.0,1748,1749,
LM,3.705,46:00.2,46:03.9,1748,1748,
N2,30,46:30.0,47:00.0,1749,1750,
N2,30,47:00.0,47:30.0,1750,1751,
N2,30,47:30.0,48:00.0,1751,1752,
REM,30,48:00.0,48:30.0,1752,1753,
REM,30,48:30.0,49:00.0,1753,1754,
LM,2.539,48:31.9,48:34.5,1753,1753,
Movement,2.4,48:32.1,48:34.5,1753,1753,
REM,30,49:00.0,49:30.0,1754,1755,
REM,30,49:30.0,50:00.0,1755,1756,
REM,30,50:00.0,50:30.0,1756,1757,
Movement,9.249,50:02.2,50:11.4,1756,1756,
LM,6.931,50:04.9,50:11.9,1756,1756,
Desat,19.666,50:24.9,50:44.6,1756,1757,
REM,30,50:30.0,51:00.0,1757,1758,
REM,30,51:00.0,51:30.0,1758,1759,
Movement,20.948,51:29.3,51:50.3,1758,1759,
LM,4.034,51:29.4,51:33.5,1758,1759,
REM,30,51:30.0,52:00.0,1759,1760,
Desat,22.333,51:51.6,52:13.9,1759,1760,
REM,30,52:00.0,52:30.0,1760,1761,
REM,30,52:30.0,53:00.0,1761,1762,
REM,30,53:00.0,53:30.0,1762,1763,
REM,30,53:30.0,54:00.0,1763,1764,
Movement,8.65,53:49.3,53:58.0,1763,1763,
LM,7.892,53:50.0,53:57.9,1763,1763,
REM,30,54:00.0,54:30.0,1764,1765,
Desat,15.999,54:11.9,54:27.9,1764,1764,
REM,30,54:30.0,55:00.0,1765,1766,
REM,30,55:00.0,55:30.0,1766,1767,
Movement,7.699,55:23.4,55:31.1,1766,1767,
LM,3.568,55:28.0,55:31.6,1766,1767,
Artifact,1503.285,55:29.5,20:32.8,1766,1817,
REM,30,55:30.0,56:00.0,1767,1768,
REM,30,56:00.0,56:30.0,1768,1769,
REM,30,56:30.0,57:00.0,1769,1770,
Movement,1.5,56:53.2,56:54.7,1769,1769,
LM,1.77,56:53.3,56:55.1,1769,1769,
LM,0.51,56:53.8,56:54.3,1769,1769,
REM,30,57:00.0,57:30.0,1770,1771,
REM,30,57:30.0,58:00.0,1771,1772,
REM,30,58:00.0,58:30.0,1772,1773,
REM,30,58:30.0,59:00.0,1773,1774,
Movement,6.45,58:51.0,58:57.5,1773,1773,
LM,5.558,58:51.8,58:57.3,1773,1773,
REM,30,59:00.0,59:30.0,1774,1775,
Desat,15,59:14.9,59:29.9,1774,1774,
REM,30,59:30.0,00:00.0,1775,1776,
Movement,1.8,59:43.1,59:44.9,1775,1775,
LM,2.05,59:43.6,59:45.7,1775,1775,
LM,0.855,59:43.8,59:44.7,1775,1775,
REM,30,00:00.0,00:30.0,1776,1777,
REM,30,00:30.0,01:00.0,1777,1778,
REM,30,01:00.0,01:30.0,1778,1779,
REM,30,01:30.0,02:00.0,1779,1780,
Desat,13.667,01:41.6,01:55.2,1779,1779,
REM,30,02:00.0,02:30.0,1780,1781,
REM,30,02:30.0,03:00.0,1781,1782,
REM,30,03:00.0,03:30.0,1782,1783,
LM,1.235,03:26.2,03:27.4,1782,1782,
PLM,57.605,03:26.2,04:23.8,1782,1784,
REM,30,03:30.0,04:00.0,1783,1784,
LM,0.824,03:32.7,03:33.6,1783,1783,
LM,0.617,03:57.7,03:58.3,1783,1783,
REM,30,04:00.0,04:30.0,1784,1785,
Movement,10.899,04:16.0,04:26.9,1784,1784,
LM,4.323,04:19.4,04:23.8,1784,1784,
REM,30,04:30.0,05:00.0,1785,1786,
REM,30,05:00.0,05:30.0,1786,1787,
REM,30,05:30.0,06:00.0,1787,1788,
LM,1.569,05:57.3,05:58.9,1787,1787,
Movement,1.799,05:57.5,05:59.3,1787,1787,
LM,4.969,05:57.5,06:02.5,1787,1788,
REM,30,06:00.0,06:30.0,1788,1789,
REM,30,06:30.0,07:00.0,1789,1790,
REM,30,07:00.0,07:30.0,1790,1791,
Wake,30,07:30.0,08:00.0,1791,1792,
Movement,12.2,07:39.6,07:51.8,1791,1791,
LM,3.568,07:49.8,07:53.4,1791,1791,
LM,1.42,07:52.2,07:53.6,1791,1791,
REM,30,08:00.0,08:30.0,1792,1793,
Desat,47.332,08:13.2,09:00.5,1792,1794,
REM,30,08:30.0,09:00.0,1793,1794,
REM,30,09:00.0,09:30.0,1794,1795,
Movement,2.5,09:23.6,09:26.1,1794,1794,
REM,30,09:30.0,10:00.0,1795,1796,
Movement,2.5,09:57.1,09:59.6,1795,1795,
LM,1.605,09:58.2,09:59.8,1795,1795,
LM,0.595,09:59.1,09:59.7,1795,1795,
REM,30,10:00.0,10:30.0,1796,1797,
REM,30,10:30.0,11:00.0,1797,1798,
REM,30,11:00.0,11:30.0,1798,1799,
REM,30,11:30.0,12:00.0,1799,1800,
REM,30,12:00.0,12:30.0,1800,1801,
Movement,7.45,12:08.3,12:15.8,1800,1800,
LM,4.872,12:11.4,12:16.2,1800,1800,
REM,30,12:30.0,13:00.0,1801,1802,
Desat,16.666,12:37.5,12:54.2,1801,1801,
REM,30,13:00.0,13:30.0,1802,1803,
REM,30,13:30.0,14:00.0,1803,1804,
Desat,44.332,13:31.5,14:15.9,1803,1804,
REM,30,14:00.0,14:30.0,1804,1805,
LM,1.2,14:05.1,14:06.3,1804,1804,
REM,30,14:30.0,15:00.0,1805,1806,
REM,30,15:00.0,15:30.0,1806,1807,
Movement,14.649,15:23.2,15:37.9,1806,1807,
N2,30,15:30.0,16:00.0,1807,1808,
LM,5.489,15:31.0,15:36.5,1807,1807,
REM,30,16:00.0,16:30.0,1808,1809,
REM,30,16:30.0,17:00.0,1809,1810,
REM,30,17:00.0,17:30.0,1810,1811,
REM,30,17:30.0,18:00.0,1811,1812,
REM,30,18:00.0,18:30.0,1812,1813,
REM,30,18:30.0,19:00.0,1813,1814,
REM,30,19:00.0,19:30.0,1814,1815,
REM,30,19:30.0,20:00.0,1815,1816,
Movement,3.45,19:46.5,19:49.9,1815,1815,
LM,2.505,19:47.0,19:49.5,1815,1815,
LM,1.21,19:47.2,19:48.4,1815,1815,
N2,30,20:00.0,20:30.0,1816,1817,
LM,8.715,20:29.7,20:38.5,1816,1817,
Movement,7.9,20:30.0,20:37.9,1816,1817,
REM,30,20:30.0,21:00.0,1817,1818,
REM,30,21:00.0,21:30.0,1818,1819,
REM,30,21:30.0,22:00.0,1819,1820,
LM,2.01,21:59.3,22:01.4,1819,1820,
Movement,1.85,21:59.6,22:01.5,1819,1820,
REM,30,22:00.0,22:30.0,1820,1821,
REM,30,22:30.0,23:00.0,1821,1822,
Movement,13.8,22:59.0,23:12.8,1821,1822,
Wake,30,23:00.0,23:30.0,1822,1823,
Artifact,2,23:12.5,23:14.5,1822,1822,
Artifact,2,23:12.5,23:14.5,1822,1822,
REM,30,23:30.0,24:00.0,1823,1824,
LM,1.525,23:32.1,23:33.7,1823,1823,
LM,1.905,23:32.4,23:34.3,1823,1823,
REM,30,24:00.0,24:30.0,1824,1825,
REM,30,24:30.0,25:00.0,1825,1826,
REM,30,25:00.0,25:30.0,1826,1827,
REM,30,25:30.0,26:00.0,1827,1828,
REM,30,26:00.0,26:30.0,1828,1829,
REM,30,26:30.0,27:00.0,1829,1830,
REM,30,27:00.0,27:30.0,1830,1831,
LM,3.07,27:23.5,27:26.5,1830,1830,
LM,1.355,27:24.3,27:25.7,1830,1830,
Movement,20.799,27:24.5,27:45.3,1830,1831,
Wake,30,27:30.0,28:00.0,1831,1832,
N1,30,28:00.0,28:30.0,1832,1833,
N2,30,28:30.0,29:00.0,1833,1834,
N2,30,29:00.0,29:30.0,1834,1835,
LM,2.265,29:14.5,29:16.8,1834,1834,
Movement,35.698,29:14.5,29:50.2,1834,1835,
LM,1.945,29:14.5,29:16.5,1834,1834,
LM,1.325,29:28.2,29:29.5,1834,1834,
N2,30,29:30.0,30:00.0,1835,1836,
Desat,19.666,29:44.2,30:03.9,1835,1836,
LM,1.715,29:49.5,29:51.3,1835,1835,
N2,30,30:00.0,30:30.0,1836,1837,
N2,30,30:30.0,31:00.0,1837,1838,
Artifact,323.605,30:54.2,36:17.8,1837,1848,
Movement,18.699,30:55.0,31:13.7,1837,1838,
Wake,30,31:00.0,31:30.0,1838,1839,
Desat,38.666,31:12.5,31:51.2,1838,1839,
N2,30,31:30.0,32:00.0,1839,1840,
N2,30,32:00.0,32:30.0,1840,1841,
N2,30,32:30.0,33:00.0,1841,1842,
N2,30,33:00.0,33:30.0,1842,1843,
N2,30,33:30.0,34:00.0,1843,1844,
Movement,6.3,33:38.6,33:44.9,1843,1843,
LM,2.539,33:39.6,33:42.2,1843,1843,
N2,30,34:00.0,34:30.0,1844,1845,
Desat,19,34:07.9,34:26.9,1844,1844,
N2,30,34:30.0,35:00.0,1845,1846,
N2,30,35:00.0,35:30.0,1846,1847,
N2,30,35:30.0,36:00.0,1847,1848,
N2,30,36:00.0,36:30.0,1848,1849,
Movement,20.399,36:02.9,36:23.3,1848,1848,
LM,3.215,36:03.1,36:06.3,1848,1848,
LM,0.935,36:05.1,36:06.0,1848,1848,
LM,0.665,36:23.1,36:23.8,1848,1848,
N2,30,36:30.0,37:00.0,1849,1850,
N2,30,37:00.0,37:30.0,1850,1851,
N2,30,37:30.0,38:00.0,1851,1852,
LM,1.465,37:59.9,38:01.4,1851,1852,
N2,30,38:00.0,38:30.0,1852,1853,
LM,1.54,38:00.0,38:01.6,1852,1852,
Movement,1.6,38:00.2,38:01.8,1852,1852,
N2,30,38:30.0,39:00.0,1853,1854,
N2,30,39:00.0,39:30.0,1854,1855,
N2,30,39:30.0,40:00.0,1855,1856,
Movement,46.348,39:55.8,40:42.2,1855,1857,
LM,1.28,39:56.2,39:57.5,1855,1855,
PLM,219.352,39:56.2,43:35.6,1855,1863,
Wake,30,40:00.0,40:30.0,1856,1857,
Wake,30,40:30.0,41:00.0,1857,1858,
N2,30,41:00.0,41:30.0,1858,1859,
LM,3.58,41:11.0,41:14.6,1858,1858,
N2,30,41:30.0,42:00.0,1859,1860,
N2,30,42:00.0,42:30.0,1860,1861,
LM,0.565,42:21.4,42:22.0,1860,1860,
LM,4.174,42:21.5,42:25.6,1860,1860,
N2,30,42:30.0,43:00.0,1861,1862,
N2,30,43:00.0,43:30.0,1862,1863,
LM,0.56,43:00.4,43:01.0,1862,1862,
Desat,19.666,43:29.2,43:48.9,1862,1863,
N2,30,43:30.0,44:00.0,1863,1864,
LM,1.085,43:34.5,43:35.6,1863,1863,
N2,30,44:00.0,44:30.0,1864,1865,
N2,30,44:30.0,45:00.0,1865,1866,
N2,30,45:00.0,45:30.0,1866,1867,
Wake,30,45:30.0,46:00.0,1867,1868,
Movement,35.748,45:37.9,46:13.7,1867,1868,
Wake,30,46:00.0,46:30.0,1868,1869,
N2,30,46:30.0,47:00.0,1869,1870,
N2,30,47:00.0,47:30.0,1870,1871,
N2,30,47:30.0,48:00.0,1871,1872,
LM,5.82,47:50.7,47:56.6,1871,1871,
N2,30,48:00.0,48:30.0,1872,1873,
Desat,22.332,48:11.2,48:33.5,1872,1873,
N2,30,48:30.0,49:00.0,1873,1874,
N2,30,49:00.0,49:30.0,1874,1875,
N2,30,49:30.0,50:00.0,1875,1876,
N2,30,50:00.0,50:30.0,1876,1877,
N2,30,50:30.0,51:00.0,1877,1878,
N2,30,51:00.0,51:30.0,1878,1879,
N2,30,51:30.0,52:00.0,1879,1880,
N2,30,52:00.0,52:30.0,1880,1881,
N2,30,52:30.0,53:00.0,1881,1882,
N2,30,53:00.0,53:30.0,1882,1883,
N2,30,53:30.0,54:00.0,1883,1884,
N2,30,54:00.0,54:30.0,1884,1885,
N2,30,54:30.0,55:00.0,1885,1886,
N2,30,55:00.0,55:30.0,1886,1887,
N2,30,55:30.0,56:00.0,1887,1888,
N2,30,56:00.0,56:30.0,1888,1889,
N2,30,56:30.0,57:00.0,1889,1890,
N2,30,57:00.0,57:30.0,1890,1891,
N2,30,57:30.0,58:00.0,1891,1892,
LM,2.32,57:46.4,57:48.7,1891,1891,
LM,3.71,57:48.1,57:51.8,1891,1891,
LM,0.96,57:49.3,57:50.2,1891,1891,
N2,30,58:00.0,58:30.0,1892,1893,
N2,30,58:30.0,59:00.0,1893,1894,
N2,30,59:00.0,59:30.0,1894,1895,
N2,30,59:30.0,00:00.0,1895,1896,
Movement,9.599,59:50.9,00:00.5,1895,1896,
LM,4.803,59:55.5,00:00.3,1895,1896,
N2,30,00:00.0,00:30.0,1896,1897,
LM,1.91,00:16.1,00:18.0,1896,1896,
LM,1.935,00:16.2,00:18.1,1896,1896,
N2,30,00:30.0,01:00.0,1897,1898,
N2,30,01:00.0,01:30.0,1898,1899,
N2,30,01:30.0,02:00.0,1899,1900,
N2,30,02:00.0,02:30.0,1900,1901,
N2,30,02:30.0,03:00.0,1901,1902,
N2,30,03:00.0,03:30.0,1902,1903,
N2,30,03:30.0,04:00.0,1903,1904,
N2,30,04:00.0,04:30.0,1904,1905,
N2,30,04:30.0,05:00.0,1905,1906,
N2,30,05:00.0,05:30.0,1906,1907,
N2,30,05:30.0,06:00.0,1907,1908,
N2,30,06:00.0,06:30.0,1908,1909,
Wake,30,06:30.0,07:00.0,1909,1910,
Movement,28.998,06:33.5,07:02.5,1909,1910,